name,rating,page_link,directors_avg_imdb,director_wins,director_nominations,actors_avg_imdb,actors_wins,actors_nominations
13,6,http://www.imdb.com/title/tt0798817/?ref_=ttls_li_tt,6.6667,9,3,7,2,12
1408,7,http://www.imdb.com/title/tt0450385/?ref_=ttls_li_tt,7,5,10,0,0,0
2 Fast 2 Furious,6,http://www.imdb.com/title/tt0322259/?ref_=ttls_li_tt,6.75,13,23,6.5,2,15
2012,6,http://www.imdb.com/title/tt1190080/?ref_=ttls_li_tt,5.75,16,16,7.3889,73,121
21,7,http://www.imdb.com/title/tt0478087/?ref_=ttls_li_tt,0,0,0,7.5,2,3
21 & Over,6,http://www.imdb.com/title/tt1711425/?ref_=ttls_li_tt,0,0,0,6.875,8,30
21 Jump Street,7,http://www.imdb.com/title/tt1232829/?ref_=ttls_li_tt,7.5,15,12,7.375,14,82
28 Days Later...,8,http://www.imdb.com/title/tt0289043/?ref_=ttls_li_tt,0,0,0,8,7,13
28 Weeks Later,7,http://www.imdb.com/title/tt0463854/?ref_=ttls_li_tt,6.5,13,7,7,13,22
3 Men and a Baby,6,http://www.imdb.com/title/tt0094137/?ref_=ttls_li_tt,7,9,18,7,9,18
30 Days of Night,7,http://www.imdb.com/title/tt0389722/?ref_=ttls_li_tt,0,0,0,8,3,12
300: Rise of an Empire,6,http://www.imdb.com/title/tt1253863/?ref_=ttls_li_tt,6,2,7,0,0,0
42,8,http://www.imdb.com/title/tt0453562/?ref_=ttls_li_tt,8,31,21,7.5,5,23
50/50,8,http://www.imdb.com/title/tt1306980/?ref_=ttls_li_tt,7,6,6,0,0,0
8 Mile,7,http://www.imdb.com/title/tt0298203/?ref_=ttls_li_tt,0,0,0,6.77776667,48,95
9,7,http://www.imdb.com/title/tt0472033/?ref_=ttls_li_tt,0,0,0,6.5,3,3
A Bronx Tale,8,http://www.imdb.com/title/tt0106489/?ref_=ttls_li_tt,7.5,53,96,7.5,53,96
A Dark Truth,6,http://www.imdb.com/title/tt2083379/?ref_=ttls_li_tt,0,0,0,4,2,3
A Few Good Men,8,http://www.imdb.com/title/tt0104257/?ref_=ttls_li_tt,0,0,0,5.3333,13,28
A Good Day to Die Hard,5,http://www.imdb.com/title/tt1606378/?ref_=ttls_li_tt,0,0,0,7.25,8,10
A Late Quartet,7,http://www.imdb.com/title/tt1226240/?ref_=ttls_li_tt,0,0,0,7.5,16,55
A Nightmare on Elm Street,5,http://www.imdb.com/title/tt1179056/?ref_=ttls_li_tt,0,0,0,5.91665,12,14
A Resurrection,4,http://www.imdb.com/title/tt1817276/?ref_=ttls_li_tt,0,0,0,8,2,6
A Series of Unfortunate Events,7,http://www.imdb.com/title/tt0339291/?ref_=ttls_li_tt,0,0,0,6.6667,170,349
A Thousand Words,6,http://www.imdb.com/title/tt0763831/?ref_=ttls_li_tt,5.5,3,7,7.75,6,3
A Very Harold & Kumar 3D Christmas,6,http://www.imdb.com/title/tt1268799/?ref_=ttls_li_tt,7.5,2,4,8,23,57
After Earth,5,http://www.imdb.com/title/tt1815862/?ref_=ttls_li_tt,6.6667,13,38,6.25,8,20
Alex Cross,5,http://www.imdb.com/title/tt1712170/?ref_=ttls_li_tt,6,12,40,6.66666667,21,82
Alice in Wonderland,7,http://www.imdb.com/title/tt1014759/?ref_=ttls_li_tt,0,0,0,7.5,49,124
Alien,9,http://www.imdb.com/title/tt0078748/?ref_=ttls_li_tt,0,0,0,7.66665,26,27
Alien 3,6,http://www.imdb.com/title/tt0103644/?ref_=ttls_li_tt,0,0,0,7,10,16
Alien: Resurrection,6,http://www.imdb.com/title/tt0118583/?ref_=ttls_li_tt,7.6667,44,29,7.5,2,3
Almost Famous,8,http://www.imdb.com/title/tt0181875/?ref_=ttls_li_tt,0,0,0,6.5,20,53
American Beauty,8,http://www.imdb.com/title/tt0169547/?ref_=ttls_li_tt,0,0,0,7.125,68,139
American Graffiti,8,http://www.imdb.com/title/tt0069704/?ref_=ttls_li_tt,0,0,0,0,0,0
American History X,9,http://www.imdb.com/title/tt0120586/?ref_=ttls_li_tt,8.3333,6,9,7.6667,3,6
American Mary,6,http://www.imdb.com/title/tt1959332/?ref_=ttls_li_tt,5.25,10,8,6.3611,14,13
American Psycho,8,http://www.imdb.com/title/tt0144084/?ref_=ttls_li_tt,6.75,2,7,7,3,4
American Reunion,7,http://www.imdb.com/title/tt1605630/?ref_=ttls_li_tt,0,0,0,6.55553333,14,39
An Education,7,http://www.imdb.com/title/tt1174732/?ref_=ttls_li_tt,6.75,29,25,0,0,0
Anastasia,7,http://www.imdb.com/title/tt0118617/?ref_=ttls_li_tt,7,3,3,7.3333,11,30
Anchorman: The Legend of Ron Burgundy,7,http://www.imdb.com/title/tt0357413/?ref_=ttls_li_tt,7.25,23,30,6.83333333,58,221
Angels & Demons,7,http://www.imdb.com/title/tt0808151/?ref_=ttls_li_tt,0,0,0,7,4,5
Anna Karenina,7,http://www.imdb.com/title/tt1781769/?ref_=ttls_li_tt,7.3333,10,31,8,27,95
Annie Hall,8,http://www.imdb.com/title/tt0075686/?ref_=ttls_li_tt,0,0,0,0,0,0
Another Earth,7,http://www.imdb.com/title/tt1549572/?ref_=ttls_li_tt,7.3333,5,9,0,0,0
Antiviral,6,http://www.imdb.com/title/tt2099556/?ref_=ttls_li_tt,6.5,4,3,6,3,5
Any Day Now,8,http://www.imdb.com/title/tt2066176/?ref_=ttls_li_tt,7.5,11,3,7.04165,16,39
Apocalypse Now,9,http://www.imdb.com/title/tt0078788/?ref_=ttls_li_tt,0,0,0,8,30,33
Apocalypto,8,http://www.imdb.com/title/tt0472043/?ref_=ttls_li_tt,7.3333,41,39,7.41665,44,41
Armageddon,7,http://www.imdb.com/title/tt0120591/?ref_=ttls_li_tt,0,0,0,8,32,53
Arthur Christmas,7,http://www.imdb.com/title/tt1430607/?ref_=ttls_li_tt,0,0,0,7,23,53
Atlantis: The Lost Empire,7,http://www.imdb.com/title/tt0230011/?ref_=ttls_li_tt,0,0,0,7.75,9,19
Atlas Shrugged II: The Strike,5,http://www.imdb.com/title/tt1985017/?ref_=ttls_li_tt,7.3333,25,2,7.5,3,7
August Rush,8,http://www.imdb.com/title/tt0426931/?ref_=ttls_li_tt,7.5,33,21,0,0,0
Austin Powers: International Man of Mystery,7,http://www.imdb.com/title/tt0118655/?ref_=ttls_li_tt,0,0,0,7.6667,5,5
Austin Powers: The Spy Who Shagged Me,7,http://www.imdb.com/title/tt0145660/?ref_=ttls_li_tt,0,0,0,6,6,10
Avatar,8,http://www.imdb.com/title/tt0499549/?ref_=ttls_li_tt,8.5,69,61,7.3889,44,123
AVP: Alien vs. Predator,6,http://www.imdb.com/title/tt0370263/?ref_=ttls_li_tt,0,0,0,6.6389,33,41
Babylon A.D.,6,http://www.imdb.com/title/tt0364970/?ref_=ttls_li_tt,7.6667,14,14,7,6,18
Back to the Future,9,http://www.imdb.com/title/tt0088763/?ref_=ttls_li_tt,8.3333,34,36,6,5,5
Bad Kids Go to Hell,5,http://www.imdb.com/title/tt1865573/?ref_=ttls_li_tt,7.6667,2,3,8,2,4
Bad Santa,7,http://www.imdb.com/title/tt0307987/?ref_=ttls_li_tt,7.6667,15,26,6.5,18,52
Bad Teacher,6,http://www.imdb.com/title/tt1284575/?ref_=ttls_li_tt,0,0,0,0,0,0
Basic Instinct,7,http://www.imdb.com/title/tt0103772/?ref_=ttls_li_tt,0,0,0,7,49,40
Batman Begins,8,http://www.imdb.com/title/tt0372784/?ref_=ttls_li_tt,0,0,0,7.33335,47,86
Battle Los Angeles,6,http://www.imdb.com/title/tt1217613/?ref_=ttls_li_tt,5.75,2,3,7,9,26
Battleship,6,http://www.imdb.com/title/tt1440129/?ref_=ttls_li_tt,7.25,3,19,6.75,9,16
Beasts of the Southern Wild,7,http://www.imdb.com/title/tt2125435/?ref_=ttls_li_tt,7.25,58,45,7.25,28,56
Beetlejuice,8,http://www.imdb.com/title/tt0094721/?ref_=ttls_li_tt,0,0,0,7.25,74,66
Before Midnight,8,http://www.imdb.com/title/tt2209418/?ref_=ttls_li_tt,0,0,0,7.6667,28,64
Beginners,7,http://www.imdb.com/title/tt1532503/?ref_=ttls_li_tt,6.5,6,19,7,19,24
Big Daddy,6,http://www.imdb.com/title/tt0142342/?ref_=ttls_li_tt,0,0,0,7,4,6
Big Fish,8,http://www.imdb.com/title/tt0319061/?ref_=ttls_li_tt,0,0,0,7.58335,36,59
Black Swan,8,http://www.imdb.com/title/tt0947798/?ref_=ttls_li_tt,7.6667,35,79,0,0,0
Blade,7,http://www.imdb.com/title/tt0120611/?ref_=ttls_li_tt,0,0,0,6.77776667,21,23
Blade Runner,8,http://www.imdb.com/title/tt0083658/?ref_=ttls_li_tt,0,0,0,7.25,3,6
Blade: Trinity,6,http://www.imdb.com/title/tt0359013/?ref_=ttls_li_tt,9,6,12,6.5,3,13
Blazing Saddles,8,http://www.imdb.com/title/tt0071230/?ref_=ttls_li_tt,0,0,0,7.75,5,10
Blitz,6,http://www.imdb.com/title/tt1297919/?ref_=ttls_li_tt,0,0,0,7.5,6,9
Blood Diamond,8,http://www.imdb.com/title/tt0450259/?ref_=ttls_li_tt,7,23,21,0,0,0
Bolt,7,http://www.imdb.com/title/tt0397892/?ref_=ttls_li_tt,7.54165,17,26,4.75,22,49
Boogie Nights,8,http://www.imdb.com/title/tt0118749/?ref_=ttls_li_tt,0,0,0,6.75,34,28
Brave,7,http://www.imdb.com/title/tt1217209/?ref_=ttls_li_tt,7.625,8,18,7.55553333,79,146
Bride Wars,6,http://www.imdb.com/title/tt0901476/?ref_=ttls_li_tt,0,0,0,7,20,53
Bridge to Terabithia,7,http://www.imdb.com/title/tt0398808/?ref_=ttls_li_tt,0,0,0,7.33335,11,45
Bring It On,6,http://www.imdb.com/title/tt0204946/?ref_=ttls_li_tt,6.3333,2,3,0,0,0
Broken City,6,http://www.imdb.com/title/tt1235522/?ref_=ttls_li_tt,0,0,0,7,19,32
Brothers,7,http://www.imdb.com/title/tt0765010/?ref_=ttls_li_tt,7.6667,30,47,0,0,0
Butter,6,http://www.imdb.com/title/tt1349451/?ref_=ttls_li_tt,0,0,0,6,3,9
Caddyshack,7,http://www.imdb.com/title/tt0080487/?ref_=ttls_li_tt,0,0,0,6.58335,11,11
Carnage,7,http://www.imdb.com/title/tt1692486/?ref_=ttls_li_tt,7.5,85,75,0,0,0
Carrie,6,http://www.imdb.com/title/tt1939659/?ref_=ttls_li_tt,7,15,13,0,0,0
Cars,7,http://www.imdb.com/title/tt0317219/?ref_=ttls_li_tt,7.5,3,6,7.58333333,55,127
Cashback,7,http://www.imdb.com/title/tt0460740/?ref_=ttls_li_tt,7.5,16,15,8,2,2
Casino Royale,8,http://www.imdb.com/title/tt0381061/?ref_=ttls_li_tt,6.6667,3,2,7.5,80,219
Cast Away,8,http://www.imdb.com/title/tt0162222/?ref_=ttls_li_tt,0,0,0,7,47,66
Catch and Release,6,http://www.imdb.com/title/tt0395495/?ref_=ttls_li_tt,6.3333,4,7,0,0,0
Charlie and the Chocolate Factory,7,http://www.imdb.com/title/tt0367594/?ref_=ttls_li_tt,0,0,0,7.375,15,32
Chasing Mavericks,7,http://www.imdb.com/title/tt1629757/?ref_=ttls_li_tt,7,71,44,7.3333,8,11
Cheaper by the Dozen,6,http://www.imdb.com/title/tt0349205/?ref_=ttls_li_tt,0,0,0,6.25,41,65
Cheaper by the Dozen 2,6,http://www.imdb.com/title/tt0452598/?ref_=ttls_li_tt,6.3333,3,4,0,0,0
Chernobyl Diaries,5,http://www.imdb.com/title/tt1991245/?ref_=ttls_li_tt,0,0,0,5.6667,7,13
Chicken Little,6,http://www.imdb.com/title/tt0371606/?ref_=ttls_li_tt,0,0,0,7,24,57
Chinese Zodiac,6,http://www.imdb.com/title/tt1424310/?ref_=ttls_li_tt,7,38,47,7,38,47
Chloe,6,http://www.imdb.com/title/tt1352824/?ref_=ttls_li_tt,7,58,74,0,0,0
Chronicle,7,http://www.imdb.com/title/tt1706593/?ref_=ttls_li_tt,0,0,0,6.75,21,41
Cleanskin,6,http://www.imdb.com/title/tt1598873/?ref_=ttls_li_tt,0,0,0,7,27,52
Close Encounters of the Third Kind,8,http://www.imdb.com/title/tt0075860/?ref_=ttls_li_tt,0,0,0,8,31,28
Cloud Atlas,8,http://www.imdb.com/title/tt1371111/?ref_=ttls_li_tt,8,34,54,5,42,80
Cloverfield,7,http://www.imdb.com/title/tt1060277/?ref_=ttls_li_tt,8,2,7,6.25,10,14
Coffee and Cigarettes,7,http://www.imdb.com/title/tt0379217/?ref_=ttls_li_tt,7.3333,30,46,7.25,60,48
Contagion,7,http://www.imdb.com/title/tt1598778/?ref_=ttls_li_tt,0,0,0,8,84,154
Contraband,7,http://www.imdb.com/title/tt1524137/?ref_=ttls_li_tt,7,34,27,7,13,53
Cop Out,6,http://www.imdb.com/title/tt1385867/?ref_=ttls_li_tt,0,0,0,6.6667,4,25
Coriolanus,6,http://www.imdb.com/title/tt1372686/?ref_=ttls_li_tt,8,36,102,8,36,102
Corpse Bride,7,http://www.imdb.com/title/tt0121164/?ref_=ttls_li_tt,7.5,3,3,0,0,0
Cosmopolis,5,http://www.imdb.com/title/tt1480656/?ref_=ttls_li_tt,7.3333,68,67,7.25,71,92
Couples Retreat,6,http://www.imdb.com/title/tt1078940/?ref_=ttls_li_tt,6.75,5,10,6.75,5,10
Crash,8,http://www.imdb.com/title/tt0375679/?ref_=ttls_li_tt,7.6667,49,50,7,76,110
Dark Shadows,6,http://www.imdb.com/title/tt1077368/?ref_=ttls_li_tt,7.5,21,71,6.75,24,47
Dawn of the Dead,7,http://www.imdb.com/title/tt0363547/?ref_=ttls_li_tt,0,0,0,6.83335,55,85
Daybreakers,7,http://www.imdb.com/title/tt0433362/?ref_=ttls_li_tt,6,4,17,0,0,0
Dazed and Confused,8,http://www.imdb.com/title/tt0106677/?ref_=ttls_li_tt,7.75,104,143,6,2,2
Dead Before Dawn 3D,5,http://www.imdb.com/title/tt1989485/?ref_=ttls_li_tt,6.3333,6,4,6.3333,2,3
Dead Man Down,7,http://www.imdb.com/title/tt2101341/?ref_=ttls_li_tt,7,16,17,0,0,0
Deadfall,6,http://www.imdb.com/title/tt1667310/?ref_=ttls_li_tt,6.75,15,9,7.3333,8,13
Death Proof,7,http://www.imdb.com/title/tt1028528/?ref_=ttls_li_tt,0,0,0,6.6667,5,9
Despicable Me,8,http://www.imdb.com/title/tt1323594/?ref_=ttls_li_tt,0,0,0,6.375,12,39
Despicable Me 2,7,http://www.imdb.com/title/tt1690953/?ref_=ttls_li_tt,0,0,0,7.66665,22,82
Devil,6,http://www.imdb.com/title/tt1314655/?ref_=ttls_li_tt,0,0,0,7,3,11
Diary of a Wimpy Kid,6,http://www.imdb.com/title/tt1196141/?ref_=ttls_li_tt,0,0,0,6.45835,6,8
Die Another Day,6,http://www.imdb.com/title/tt0246460/?ref_=ttls_li_tt,7,11,3,0,0,0
Die Hard,8,http://www.imdb.com/title/tt0095016/?ref_=ttls_li_tt,5.6667,6,5,7,3,5
Die Hard 2,7,http://www.imdb.com/title/tt0099423/?ref_=ttls_li_tt,6.3333,3,12,0,0,0
Disaster Movie,2,http://www.imdb.com/title/tt1213644/?ref_=ttls_li_tt,0,0,0,5.5,2,6
Disconnect,8,http://www.imdb.com/title/tt1433811/?ref_=ttls_li_tt,7.6667,9,4,0,0,0
Django Unchained,8,http://www.imdb.com/title/tt1853728/?ref_=ttls_li_tt,0,0,0,7,84,40
Dodgeball: A True Underdog Story,7,http://www.imdb.com/title/tt0364725/?ref_=ttls_li_tt,0,0,0,6.25,7,13
Doomsday,6,http://www.imdb.com/title/tt0483607/?ref_=ttls_li_tt,7,8,14,0,0,0
Drag Me to Hell,7,http://www.imdb.com/title/tt1127180/?ref_=ttls_li_tt,0,0,0,6.6667,3,8
Dredd,7,http://www.imdb.com/title/tt1343727/?ref_=ttls_li_tt,6.75,3,7,7.6667,13,44
Drive,8,http://www.imdb.com/title/tt0780504/?ref_=ttls_li_tt,6.5,28,49,7.75,126,293
Dumb and Dumber,7,http://www.imdb.com/title/tt0109686/?ref_=ttls_li_tt,5.83335,8,8,6.75,15,52
E.T. the Extra-Terrestrial,8,http://www.imdb.com/title/tt0083866/?ref_=ttls_li_tt,0,0,0,7.5,2,8
Eastern Promises,8,http://www.imdb.com/title/tt0765443/?ref_=ttls_li_tt,0,0,0,7.5,25,7
Eden,7,http://www.imdb.com/title/tt1734433/?ref_=ttls_li_tt,6.25,6,5,5.5,5,3
Elysium,7,http://www.imdb.com/title/tt1535108/?ref_=ttls_li_tt,7,12,35,0,0,0
End of Watch,8,http://www.imdb.com/title/tt1855199/?ref_=ttls_li_tt,0,0,0,7.3611,63,170
Enemy of the State,7,http://www.imdb.com/title/tt0120660/?ref_=ttls_li_tt,0,0,0,6.6667,25,34
Epic,7,http://www.imdb.com/title/tt0848537/?ref_=ttls_li_tt,7,6,7,6.25,50,115
Epic Movie,2,http://www.imdb.com/title/tt0799949/?ref_=ttls_li_tt,0,0,0,6.5,7,24
Eragon,5,http://www.imdb.com/title/tt0449010/?ref_=ttls_li_tt,5.5,6,17,0,0,0
Erased,6,http://www.imdb.com/title/tt1645155/?ref_=ttls_li_tt,6.75,2,7,0,0,0
EuroTrip,7,http://www.imdb.com/title/tt0356150/?ref_=ttls_li_tt,0,0,0,5.3333,5,10
Extremely Loud & Incredibly Close,7,http://www.imdb.com/title/tt0477302/?ref_=ttls_li_tt,7.75,37,42,0,0,0
Eyes Wide Shut,7,http://www.imdb.com/title/tt0120663/?ref_=ttls_li_tt,7.3333,20,42,7.3333,20,42
Fame,5,http://www.imdb.com/title/tt1016075/?ref_=ttls_li_tt,0,0,0,6.3333,12,42
Fantastic Four,6,http://www.imdb.com/title/tt0120667/?ref_=ttls_li_tt,0,0,0,6,2,4
Fantastic Mr. Fox,8,http://www.imdb.com/title/tt0432283/?ref_=ttls_li_tt,8,66,154,0,0,0
Fargo,8,http://www.imdb.com/title/tt0116282/?ref_=ttls_li_tt,0,0,0,8.5,37,66
Fast Five,7,http://www.imdb.com/title/tt1596343/?ref_=ttls_li_tt,7,3,6,6.75,16,57
Field of Dreams,8,http://www.imdb.com/title/tt0097351/?ref_=ttls_li_tt,7.25,11,11,0,0,0
Fight Club,9,http://www.imdb.com/title/tt0137523/?ref_=ttls_li_tt,8.25,62,112,7.875,113,231
Filly Brown,6,http://www.imdb.com/title/tt1869425/?ref_=ttls_li_tt,0,0,0,6.75,9,7
Final Destination,7,http://www.imdb.com/title/tt0195714/?ref_=ttls_li_tt,7,2,13,0,0,0
Finding Nemo,8,http://www.imdb.com/title/tt0266543/?ref_=ttls_li_tt,7.95835,52,91,7,117,109
Flight,7,http://www.imdb.com/title/tt1907668/?ref_=ttls_li_tt,0,0,0,7.1667,116,263
Flipped,8,http://www.imdb.com/title/tt0817177/?ref_=ttls_li_tt,0,0,0,7,3,4
"For a Good Time, Call...",6,http://www.imdb.com/title/tt1996264/?ref_=ttls_li_tt,7,12,4,0,0,0
Fracture,7,http://www.imdb.com/title/tt0488120/?ref_=ttls_li_tt,0,0,0,7.3333,13,39
Frankenweenie,7,http://www.imdb.com/title/tt1142977/?ref_=ttls_li_tt,0,0,0,7,18,50
Friday,7,http://www.imdb.com/title/tt0113118/?ref_=ttls_li_tt,0,0,0,7.25,15,37
Friday Night Lights,7,http://www.imdb.com/title/tt0390022/?ref_=ttls_li_tt,0,0,0,7,7,13
Fright Night,6,http://www.imdb.com/title/tt1438176/?ref_=ttls_li_tt,6.5,5,9,7.3333,25,27
From Paris with Love,7,http://www.imdb.com/title/tt1179034/?ref_=ttls_li_tt,0,0,0,6.75,7,4
Full Metal Jacket,8,http://www.imdb.com/title/tt0093058/?ref_=ttls_li_tt,8.25,38,57,7.375,12,14
Fun Size,5,http://www.imdb.com/title/tt1663143/?ref_=ttls_li_tt,0,0,0,6.25,3,16
G.I. Joe: The Rise of Cobra,6,http://www.imdb.com/title/tt1046173/?ref_=ttls_li_tt,0,0,0,6.33333333,37,100
Gambit,6,http://www.imdb.com/title/tt0404978/?ref_=ttls_li_tt,6.5,2,7,0,0,0
Gamer,6,http://www.imdb.com/title/tt1034032/?ref_=ttls_li_tt,0,0,0,0,0,0
Gangster Squad,7,http://www.imdb.com/title/tt1321870/?ref_=ttls_li_tt,0,0,0,8,72,105
Get Him to the Greek,6,http://www.imdb.com/title/tt1226229/?ref_=ttls_li_tt,6.6667,2,7,0,0,0
Get the Gringo,7,http://www.imdb.com/title/tt1567609/?ref_=ttls_li_tt,7.3333,41,39,7.41665,50,45
Ghostbusters,8,http://www.imdb.com/title/tt0087332/?ref_=ttls_li_tt,7,7,12,6.75,55,93
Gladiator,9,http://www.imdb.com/title/tt0172495/?ref_=ttls_li_tt,8.25,39,89,7.80556667,72,189
Godzilla,6,http://www.imdb.com/title/tt0831387/?ref_=ttls_li_tt,6,13,13,0,0,0
Gone,6,http://www.imdb.com/title/tt1838544/?ref_=ttls_li_tt,0,0,0,6.75,10,34
Good Will Hunting,8,http://www.imdb.com/title/tt0119217/?ref_=ttls_li_tt,0,0,0,7,64,83
Gran Torino,8,http://www.imdb.com/title/tt1205489/?ref_=ttls_li_tt,8,292,310,8,292,310
Grave Encounters 2,5,http://www.imdb.com/title/tt2231554/?ref_=ttls_li_tt,0,0,0,7.6667,2,4
Green Lantern,6,http://www.imdb.com/title/tt1133985/?ref_=ttls_li_tt,0,0,0,7.3333,14,33
Green Zone,7,http://www.imdb.com/title/tt0947810/?ref_=ttls_li_tt,0,0,0,7,3,15
Gremlins,7,http://www.imdb.com/title/tt0087363/?ref_=ttls_li_tt,6.75,14,11,0,0,0
Grown Ups,6,http://www.imdb.com/title/tt1375670/?ref_=ttls_li_tt,0,0,0,6.25,69,120
Guardians of the Galaxy,8,http://www.imdb.com/title/tt2015381/?ref_=ttls_li_tt,6,14,9,9,15,30
Hackers,6,http://www.imdb.com/title/tt0113243/?ref_=ttls_li_tt,6.75,3,2,0,0,0
Half Nelson,7,http://www.imdb.com/title/tt0468489/?ref_=ttls_li_tt,6,18,11,0,0,0
Hannibal Rising,6,http://www.imdb.com/title/tt0367959/?ref_=ttls_li_tt,6.6667,4,9,7.5,30,24
Hansel & Gretel: Witch Hunters,6,http://www.imdb.com/title/tt1428538/?ref_=ttls_li_tt,6.6667,7,5,6.875,4,17
Happy Feet Two,6,http://www.imdb.com/title/tt1402488/?ref_=ttls_li_tt,7.3333,70,55,7,7,39
Hard Candy,7,http://www.imdb.com/title/tt0424136/?ref_=ttls_li_tt,7.75,4,5,0,0,0
Harry Potter and the Deathly Hallows: Part 2,8,http://www.imdb.com/title/tt1201607/?ref_=ttls_li_tt,7,15,20,7,23,55
Harry Potter and the Prisoner of Azkaban,8,http://www.imdb.com/title/tt0304141/?ref_=ttls_li_tt,8,105,96,0,0,0
Heat,8,http://www.imdb.com/title/tt0113277/?ref_=ttls_li_tt,7.6667,17,36,6.6667,5,13
Hellboy II: The Golden Army,7,http://www.imdb.com/title/tt0411477/?ref_=ttls_li_tt,0,0,0,6.5,11,8
Hereafter,7,http://www.imdb.com/title/tt1212419/?ref_=ttls_li_tt,0,0,0,7.33335,28,35
Hick,6,http://www.imdb.com/title/tt1205558/?ref_=ttls_li_tt,6.6667,2,2,7.3333,2,9
Home Alone,8,http://www.imdb.com/title/tt0099785/?ref_=ttls_li_tt,0,0,0,7.66665,18,20
Hop,6,http://www.imdb.com/title/tt1411704/?ref_=ttls_li_tt,0,0,0,7,6,12
Horrible Bosses,7,http://www.imdb.com/title/tt1499658/?ref_=ttls_li_tt,0,0,0,8,2,5
Hot Tub Time Machine,6,http://www.imdb.com/title/tt1231587/?ref_=ttls_li_tt,0,0,0,5.5,2,12
House of Wax,5,http://www.imdb.com/title/tt0397065/?ref_=ttls_li_tt,0,0,0,5.75,8,24
How to Train Your Dragon,8,http://www.imdb.com/title/tt0892769/?ref_=ttls_li_tt,7.75,15,49,7.27776667,16,49
Hulk,6,http://www.imdb.com/title/tt0286716/?ref_=ttls_li_tt,0,0,0,7,9,7
I Am Legend,7,http://www.imdb.com/title/tt0480249/?ref_=ttls_li_tt,0,0,0,6.3333,10,9
I Spit on Your Grave,6,http://www.imdb.com/title/tt1242432/?ref_=ttls_li_tt,0,0,0,7,4,3
"I, Robot",7,http://www.imdb.com/title/tt0343818/?ref_=ttls_li_tt,0,0,0,7,7,19
Ice Age: Continental Drift,7,http://www.imdb.com/title/tt1667889/?ref_=ttls_li_tt,0,0,0,6.83333333,30,93
Identity,7,http://www.imdb.com/title/tt0309698/?ref_=ttls_li_tt,0,0,0,6.6667,2,7
Identity Thief,6,http://www.imdb.com/title/tt2024432/?ref_=ttls_li_tt,0,0,0,7,27,76
Idiocracy,7,http://www.imdb.com/title/tt0387808/?ref_=ttls_li_tt,0,0,0,7,3,36
Immortals,6,http://www.imdb.com/title/tt1253864/?ref_=ttls_li_tt,6.75,6,5,0,0,0
In Bruges,8,http://www.imdb.com/title/tt0780536/?ref_=ttls_li_tt,0,0,0,7.5,13,41
In the Loop,8,http://www.imdb.com/title/tt1226774/?ref_=ttls_li_tt,8.5,25,47,8.25,25,51
In Time,7,http://www.imdb.com/title/tt1637688/?ref_=ttls_li_tt,7.25,11,13,7,51,142
Inception,9,http://www.imdb.com/title/tt1375666/?ref_=ttls_li_tt,0,0,0,7.41665,63,131
Independence Day,7,http://www.imdb.com/title/tt0116629/?ref_=ttls_li_tt,0,0,0,6,7,3
Indiana Jones and the Last Crusade,8,http://www.imdb.com/title/tt0097576/?ref_=ttls_li_tt,0,0,0,7.5,37,28
Inglourious Basterds,8,http://www.imdb.com/title/tt0361748/?ref_=ttls_li_tt,7,26,18,7,39,34
Insidious,7,http://www.imdb.com/title/tt1591095/?ref_=ttls_li_tt,7.3333,14,11,0,0,0
Into the Blue,6,http://www.imdb.com/title/tt0378109/?ref_=ttls_li_tt,0,0,0,6,2,6
Iron Man,8,http://www.imdb.com/title/tt0371746/?ref_=ttls_li_tt,6.75,5,10,7.08333333,61,112
Iron Man 3,7,http://www.imdb.com/title/tt1300854/?ref_=ttls_li_tt,7.6667,4,12,0,0,0
