name,rating,page_link,directors_avg_imdb,director_wins,director_nominations,actors_avg_imdb,actors_wins,actors_nominations
Iron Sky,6,http://www.imdb.com/title/tt1034314/?ref_=ttls_li_tt,6.5,2,2,7.25,2,2
Jack and Jill,3,http://www.imdb.com/title/tt0810913/?ref_=ttls_li_tt,0,0,0,5.6667,5,14
Jack Reacher,7,http://www.imdb.com/title/tt0790724/?ref_=ttls_li_tt,7.3333,8,3,7.375,78,130
Jack the Giant Slayer,6,http://www.imdb.com/title/tt1351685/?ref_=ttls_li_tt,0,0,0,7.41665,33,69
Jackie Brown,8,http://www.imdb.com/title/tt0119396/?ref_=ttls_li_tt,0,0,0,7.08335,8,32
Java Heat,5,http://www.imdb.com/title/tt2083231/?ref_=ttls_li_tt,0,0,0,6,4,7
Jaws,8,http://www.imdb.com/title/tt0073195/?ref_=ttls_li_tt,0,0,0,7.72223333,21,28
Jay and Silent Bob Strike Back,7,http://www.imdb.com/title/tt0261392/?ref_=ttls_li_tt,7.25,28,46,7.25,28,46
John Carter,7,http://www.imdb.com/title/tt0401729/?ref_=ttls_li_tt,0,0,0,7.41665,54,61
John Dies at the End,6,http://www.imdb.com/title/tt1783732/?ref_=ttls_li_tt,6.5,9,12,0,0,0
Johnny English Reborn,6,http://www.imdb.com/title/tt1634122/?ref_=ttls_li_tt,0,0,0,6.3333,7,15
Jumper,6,http://www.imdb.com/title/tt0489099/?ref_=ttls_li_tt,7.5,2,7,0,0,0
Jurassic Park,8,http://www.imdb.com/title/tt0107290/?ref_=ttls_li_tt,7.75,183,186,7.52776667,33,106
Kick-Ass,8,http://www.imdb.com/title/tt1250777/?ref_=ttls_li_tt,8,5,18,6.875,68,105
Kids,7,http://www.imdb.com/title/tt0113540/?ref_=ttls_li_tt,6.6667,5,9,7.5,9,17
Kill Bill: Vol. 1,8,http://www.imdb.com/title/tt0266697/?ref_=ttls_li_tt,0,0,0,6.79165,13,24
Killer Joe,7,http://www.imdb.com/title/tt1726669/?ref_=ttls_li_tt,7,20,15,7.25,8,27
Killing Them Softly,6,http://www.imdb.com/title/tt1764234/?ref_=ttls_li_tt,7,7,10,7.75,22,55
Kindergarten Cop,6,http://www.imdb.com/title/tt0099938/?ref_=ttls_li_tt,0,0,0,7,2,6
Kung Fu Panda,8,http://www.imdb.com/title/tt0441773/?ref_=ttls_li_tt,7.83335,17,12,0,0,0
Kung Fu Panda 2,7,http://www.imdb.com/title/tt1302011/?ref_=ttls_li_tt,7.75,4,7,0,0,0
Labyrinth,7,http://www.imdb.com/title/tt0091369/?ref_=ttls_li_tt,7.75,36,31,7.5,16,23
Lakeview Terrace,6,http://www.imdb.com/title/tt0947802/?ref_=ttls_li_tt,5.75,13,13,0,0,0
Land of the Dead,6,http://www.imdb.com/title/tt0418819/?ref_=ttls_li_tt,6.6667,15,5,8,4,13
Lara Croft: Tomb Raider,6,http://www.imdb.com/title/tt0146316/?ref_=ttls_li_tt,0,0,0,7.3333,4,5
Lars and the Real Girl,7,http://www.imdb.com/title/tt0805564/?ref_=ttls_li_tt,0,0,0,6.6667,4,8
Lawless,7,http://www.imdb.com/title/tt1212450/?ref_=ttls_li_tt,7,4,10,7.25,10,37
Lay the Favorite,5,http://www.imdb.com/title/tt1132449/?ref_=ttls_li_tt,7.5,65,69,0,0,0
Layer Cake,7,http://www.imdb.com/title/tt0375912/?ref_=ttls_li_tt,0,0,0,7,4,20
Legion,5,http://www.imdb.com/title/tt1038686/?ref_=ttls_li_tt,0,0,0,6.75,10,28
L̩on: The Professional,9,http://www.imdb.com/title/tt0110413/?ref_=ttls_li_tt,7.5,27,25,7.75,38,72
Letters to Juliet,7,http://www.imdb.com/title/tt0892318/?ref_=ttls_li_tt,6.6667,6,3,6.5,46,73
Liberal Arts,7,http://www.imdb.com/title/tt1872818/?ref_=ttls_li_tt,6.6667,4,18,6.6667,4,18
Life of Pi,8,http://www.imdb.com/title/tt0454876/?ref_=ttls_li_tt,8,101,94,7.625,19,31
Like Minds,6,http://www.imdb.com/title/tt0425196/?ref_=ttls_li_tt,0,0,0,7.5,22,69
Lilo & Stitch,7,http://www.imdb.com/title/tt0275847/?ref_=ttls_li_tt,7.5,7,24,7.5,7,24
Limitless,7,http://www.imdb.com/title/tt1219289/?ref_=ttls_li_tt,7.25,4,5,6.375,12,30
Little Children,8,http://www.imdb.com/title/tt0404203/?ref_=ttls_li_tt,7.3333,20,42,7.3333,20,42
Little Fockers,6,http://www.imdb.com/title/tt0970866/?ref_=ttls_li_tt,6.5,2,9,0,0,0
Little Miss Sunshine,8,http://www.imdb.com/title/tt0449059/?ref_=ttls_li_tt,7.3333,21,22,7,12,20
Live Free or Die Hard,7,http://www.imdb.com/title/tt0337978/?ref_=ttls_li_tt,0,0,0,6.75,6,29
Looper,7,http://www.imdb.com/title/tt1276104/?ref_=ttls_li_tt,7.25,18,33,0,0,0
Lord of War,8,http://www.imdb.com/title/tt0399295/?ref_=ttls_li_tt,0,0,0,8,50,34
Lucky Number Slevin,8,http://www.imdb.com/title/tt0425210/?ref_=ttls_li_tt,6.75,7,11,7,48,86
Madagascar,7,http://www.imdb.com/title/tt0351283/?ref_=ttls_li_tt,0,0,0,7.6667,3,21
Magic Mike,6,http://www.imdb.com/title/tt1915581/?ref_=ttls_li_tt,7.25,29,79,6,3,6
Magnolia,8,http://www.imdb.com/title/tt0175880/?ref_=ttls_li_tt,0,0,0,8,15,18
Mama,6,http://www.imdb.com/title/tt2023587/?ref_=ttls_li_tt,6.75,10,2,7.5,76,108
Man of Steel,7,http://www.imdb.com/title/tt0770828/?ref_=ttls_li_tt,7.6667,3,12,7.16665,35,94
Man on a Ledge,7,http://www.imdb.com/title/tt1568338/?ref_=ttls_li_tt,7,13,35,7,13,35
Marley & Me,7,http://www.imdb.com/title/tt0822832/?ref_=ttls_li_tt,8.25,7,6,6.5,2,4
Mars Attacks!,6,http://www.imdb.com/title/tt0116996/?ref_=ttls_li_tt,0,0,0,6.3333,18,22
Mary and Max,8,http://www.imdb.com/title/tt0978762/?ref_=ttls_li_tt,7.5,36,7,0,0,0
Master and Commander: The Far Side of the World,7,http://www.imdb.com/title/tt0311113/?ref_=ttls_li_tt,0,0,0,7,9,10
"Me, Myself & Irene",7,http://www.imdb.com/title/tt0183505/?ref_=ttls_li_tt,0,0,0,7,38,125
Mean Girls,7,http://www.imdb.com/title/tt0377092/?ref_=ttls_li_tt,0,0,0,6.75,40,87
Meet the Robinsons,7,http://www.imdb.com/title/tt0396555/?ref_=ttls_li_tt,0,0,0,6.6667,30,59
Melancholia,7,http://www.imdb.com/title/tt1527186/?ref_=ttls_li_tt,7.75,96,97,7,14,32
Men in Black,7,http://www.imdb.com/title/tt0119654/?ref_=ttls_li_tt,0,0,0,7.3333,6,7
Men in Black 3,7,http://www.imdb.com/title/tt1409024/?ref_=ttls_li_tt,0,0,0,7.375,102,209
Men in Black II,6,http://www.imdb.com/title/tt0120912/?ref_=ttls_li_tt,0,0,0,6.6667,8,20
Million Dollar Baby,8,http://www.imdb.com/title/tt0405159/?ref_=ttls_li_tt,0,0,0,7,57,41
Minority Report,8,http://www.imdb.com/title/tt0181689/?ref_=ttls_li_tt,0,0,0,7.75,21,61
Mirror Mirror,6,http://www.imdb.com/title/tt1667353/?ref_=ttls_li_tt,0,0,0,6,4,6
Mission: Impossible II,6,http://www.imdb.com/title/tt0120755/?ref_=ttls_li_tt,7.75,19,15,0,0,0
Monsters vs. Aliens,7,http://www.imdb.com/title/tt0892782/?ref_=ttls_li_tt,0,0,0,6.5,60,116
"Monsters, Inc.",8,http://www.imdb.com/title/tt0198781/?ref_=ttls_li_tt,7.6667,6,16,0,0,0
Monty Python and the Holy Grail,8,http://www.imdb.com/title/tt0071853/?ref_=ttls_li_tt,8,3,5,8,10,18
Movie 43,4,http://www.imdb.com/title/tt1333125/?ref_=ttls_li_tt,6.25,15,37,7,13,35
Mrs. Doubtfire,7,http://www.imdb.com/title/tt0107614/?ref_=ttls_li_tt,0,0,0,7.5,43,78
Mud,7,http://www.imdb.com/title/tt1935179/?ref_=ttls_li_tt,7,22,32,6.75,53,90
Mulan,8,http://www.imdb.com/title/tt0120762/?ref_=ttls_li_tt,7.5,2,3,7,5,8
Mulholland Drive,8,http://www.imdb.com/title/tt0166924/?ref_=ttls_li_tt,7.75,49,61,6.5,2,2
My Girl,7,http://www.imdb.com/title/tt0102492/?ref_=ttls_li_tt,0,0,0,6.5,7,24
Napoleon Dynamite,7,http://www.imdb.com/title/tt0374900/?ref_=ttls_li_tt,0,0,0,6.3333,7,17
Network,8,http://www.imdb.com/title/tt0074958/?ref_=ttls_li_tt,8.5,35,48,0,0,0
Never Back Down,7,http://www.imdb.com/title/tt1023111/?ref_=ttls_li_tt,0,0,0,5.6667,2,2
Noah,6,http://www.imdb.com/title/tt1959490/?ref_=ttls_li_tt,0,0,0,7.3333,15,25
Not Another Teen Movie,6,http://www.imdb.com/title/tt0277371/?ref_=ttls_li_tt,0,0,0,6.5,5,12
Not Fade Away,6,http://www.imdb.com/title/tt1230215/?ref_=ttls_li_tt,0,0,0,6.75,11,7
Now You See Me,7,http://www.imdb.com/title/tt1670345/?ref_=ttls_li_tt,0,0,0,7.5,17,35
"O Brother, Where Art Thou?",8,http://www.imdb.com/title/tt0190590/?ref_=ttls_li_tt,0,0,0,7.5,24,43
Oblivion,7,http://www.imdb.com/title/tt1483013/?ref_=ttls_li_tt,0,0,0,7.3333,18,11
Old Boy,6,http://www.imdb.com/title/tt1321511/?ref_=ttls_li_tt,7.6667,45,73,7,11,32
Old School,7,http://www.imdb.com/title/tt0302886/?ref_=ttls_li_tt,0,0,0,7,9,4
Olympus Has Fallen,7,http://www.imdb.com/title/tt2302755/?ref_=ttls_li_tt,7,4,7,0,0,0
On the Road,6,http://www.imdb.com/title/tt0337692/?ref_=ttls_li_tt,0,0,0,6.75,7,10
Only God Forgives,6,http://www.imdb.com/title/tt1602613/?ref_=ttls_li_tt,0,0,0,6.625,28,48
Our Idiot Brother,6,http://www.imdb.com/title/tt1637706/?ref_=ttls_li_tt,6,2,4,0,0,0
Over the Hedge,7,http://www.imdb.com/title/tt0327084/?ref_=ttls_li_tt,7,8,9,8,17,46
Oz the Great and Powerful,6,http://www.imdb.com/title/tt1623205/?ref_=ttls_li_tt,7.3333,14,19,7.5,77,247
Pacific Rim,7,http://www.imdb.com/title/tt1663662/?ref_=ttls_li_tt,7,66,81,7.66665,11,34
Pain & Gain,6,http://www.imdb.com/title/tt1980209/?ref_=ttls_li_tt,0,0,0,7.5,6,30
Pandorum,7,http://www.imdb.com/title/tt1188729/?ref_=ttls_li_tt,6.5,6,3,7,12,32
ParaNorman,7,http://www.imdb.com/title/tt1623288/?ref_=ttls_li_tt,6.6667,2,13,7,3,23
Parental Guidance,6,http://www.imdb.com/title/tt1047540/?ref_=ttls_li_tt,0,0,0,7.25,83,147
Parker,6,http://www.imdb.com/title/tt1904996/?ref_=ttls_li_tt,7,13,13,4,25,66
Pawn,6,http://www.imdb.com/title/tt1551630/?ref_=ttls_li_tt,0,0,0,5.5,3,10
People Like Us,7,http://www.imdb.com/title/tt1716777/?ref_=ttls_li_tt,8,3,7,0,0,0
Percy Jackson & the Olympians: The Lightning Thief,6,http://www.imdb.com/title/tt0814255/?ref_=ttls_li_tt,0,0,0,7.16665,16,49
Percy Jackson: Sea of Monsters,6,http://www.imdb.com/title/tt1854564/?ref_=ttls_li_tt,0,0,0,6.6667,7,22
Perfect Sense,7,http://www.imdb.com/title/tt1439572/?ref_=ttls_li_tt,7.25,23,41,0,0,0
Pineapple Express,7,http://www.imdb.com/title/tt0910936/?ref_=ttls_li_tt,6.6667,14,35,0,0,0
Piranha 3D,6,http://www.imdb.com/title/tt0464154/?ref_=ttls_li_tt,6.5,2,11,0,0,0
Piranha 3DD,4,http://www.imdb.com/title/tt1714203/?ref_=ttls_li_tt,0,0,0,6.375,12,11
Pirate Radio,7,http://www.imdb.com/title/tt1131729/?ref_=ttls_li_tt,7.5,19,35,0,0,0
Pirates of the Caribbean: On Stranger Tides,7,http://www.imdb.com/title/tt1298650/?ref_=ttls_li_tt,6.5,14,21,7.375,126,237
Pirates of the Caribbean: The Curse of the Black Pearl,8,http://www.imdb.com/title/tt0325980/?ref_=ttls_li_tt,0,0,0,7.5,45,78
Planet Terror,7,http://www.imdb.com/title/tt1077258/?ref_=ttls_li_tt,0,0,0,7,12,17
Platoon,8,http://www.imdb.com/title/tt0091763/?ref_=ttls_li_tt,0,0,0,7.3333,6,8
Point Break,7,http://www.imdb.com/title/tt0102685/?ref_=ttls_li_tt,0,0,0,7,4,8
Police Academy,7,http://www.imdb.com/title/tt0087928/?ref_=ttls_li_tt,0,0,0,6.6667,3,2
Precious,7,http://www.imdb.com/title/tt0929632/?ref_=ttls_li_tt,0,0,0,7,26,39
Predators,6,http://www.imdb.com/title/tt1424381/?ref_=ttls_li_tt,7.3333,10,5,8.5,13,35
Premium Rush,7,http://www.imdb.com/title/tt1547234/?ref_=ttls_li_tt,7,3,9,0,0,0
Priest,6,http://www.imdb.com/title/tt0822847/?ref_=ttls_li_tt,0,0,0,7.5,6,21
Prometheus,7,http://www.imdb.com/title/tt1446714/?ref_=ttls_li_tt,0,0,0,7.6667,13,17
Promised Land,7,http://www.imdb.com/title/tt2091473/?ref_=ttls_li_tt,7,40,57,7.25,70,98
Psycho,5,http://www.imdb.com/title/tt0155975/?ref_=ttls_li_tt,0,0,0,6.5,8,11
Pulp Fiction,9,http://www.imdb.com/title/tt0110912/?ref_=ttls_li_tt,8,132,176,6.63886667,112,204
Puss in Boots,7,http://www.imdb.com/title/tt0448694/?ref_=ttls_li_tt,0,0,0,7.25,38,38
Quantum of Solace,7,http://www.imdb.com/title/tt0830515/?ref_=ttls_li_tt,7.75,6,14,7.33335,24,39
Quartet,7,http://www.imdb.com/title/tt1441951/?ref_=ttls_li_tt,7.6667,62,51,7.83335,80,70
Raiders of the Lost Ark,9,http://www.imdb.com/title/tt0082971/?ref_=ttls_li_tt,0,0,0,7,11,4
Rain Man,8,http://www.imdb.com/title/tt0095953/?ref_=ttls_li_tt,7,91,92,7.33335,127,105
Rambo,7,http://www.imdb.com/title/tt0462499/?ref_=ttls_li_tt,0,0,0,7,3,5
Ratatouille,8,http://www.imdb.com/title/tt0382932/?ref_=ttls_li_tt,8,11,5,0,0,0
Real Steel,7,http://www.imdb.com/title/tt0433035/?ref_=ttls_li_tt,7.6667,4,9,7.6667,6,41
RED,7,http://www.imdb.com/title/tt1245526/?ref_=ttls_li_tt,6.25,4,3,7,120,124
RED 2,7,http://www.imdb.com/title/tt1821694/?ref_=ttls_li_tt,0,0,0,7.6667,24,43
Red Dawn,5,http://www.imdb.com/title/tt1234719/?ref_=ttls_li_tt,7.6667,6,12,7,50,70
Red Dragon,7,http://www.imdb.com/title/tt0289765/?ref_=ttls_li_tt,7.375,41,108,8,36,102
Red Lights,6,http://www.imdb.com/title/tt1748179/?ref_=ttls_li_tt,6.75,11,11,0,0,0
Red Riding Hood,5,http://www.imdb.com/title/tt1486185/?ref_=ttls_li_tt,6,9,13,8,6,8
Red State,6,http://www.imdb.com/title/tt0873886/?ref_=ttls_li_tt,0,0,0,6.25,52,80
Reservoir Dogs,8,http://www.imdb.com/title/tt0105236/?ref_=ttls_li_tt,0,0,0,8,33,24
Resident Evil: Afterlife,6,http://www.imdb.com/title/tt1220634/?ref_=ttls_li_tt,0,0,0,0,0,0
Resident Evil: Apocalypse,6,http://www.imdb.com/title/tt0318627/?ref_=ttls_li_tt,0,0,0,7,2,4
Resident Evil: Extinction,6,http://www.imdb.com/title/tt0432021/?ref_=ttls_li_tt,6,3,5,0,0,0
Resident Evil: Retribution,5,http://www.imdb.com/title/tt1855325/?ref_=ttls_li_tt,6.3333,2,2,6,3,18
Rio,7,http://www.imdb.com/title/tt1436562/?ref_=ttls_li_tt,6.6667,2,12,6,5,27
Rise of the Guardians,7,http://www.imdb.com/title/tt1446192/?ref_=ttls_li_tt,6,3,5,7.375,48,105
Rise of the Planet of the Apes,8,http://www.imdb.com/title/tt1318514/?ref_=ttls_li_tt,7,2,7,7.5,37,54
Road to Perdition,8,http://www.imdb.com/title/tt0257044/?ref_=ttls_li_tt,0,0,0,7,4,9
Road Trip,7,http://www.imdb.com/title/tt0215129/?ref_=ttls_li_tt,0,0,0,6.5,3,7
Robin Hood,7,http://www.imdb.com/title/tt0955308/?ref_=ttls_li_tt,0,0,0,7.5,312,384
RoboCop,6,http://www.imdb.com/title/tt1234721/?ref_=ttls_li_tt,7.5,88,28,0,0,0
Robot & Frank,7,http://www.imdb.com/title/tt1990314/?ref_=ttls_li_tt,7.3333,2,2,6.6667,11,45
RocknRolla,7,http://www.imdb.com/title/tt1032755/?ref_=ttls_li_tt,0,0,0,7.6667,24,70
Rocky,8,http://www.imdb.com/title/tt0075148/?ref_=ttls_li_tt,5,5,6,6.5,10,13
Ronin,7,http://www.imdb.com/title/tt0122690/?ref_=ttls_li_tt,6.75,18,40,0,0,0
Rush Hour,7,http://www.imdb.com/title/tt0120812/?ref_=ttls_li_tt,0,0,0,6,2,2
Safe House,7,http://www.imdb.com/title/tt1599348/?ref_=ttls_li_tt,7,3,3,5,2,5
Salt,6,http://www.imdb.com/title/tt0944835/?ref_=ttls_li_tt,7.25,23,10,0,0,0
Savages,7,http://www.imdb.com/title/tt1615065/?ref_=ttls_li_tt,7.25,60,51,6.75,8,21
Save the Last Dance,6,http://www.imdb.com/title/tt0206275/?ref_=ttls_li_tt,0,0,0,6.52776667,36,74
Saving Private Ryan,9,http://www.imdb.com/title/tt0120815/?ref_=ttls_li_tt,0,0,0,8,125,292
Saw,8,http://www.imdb.com/title/tt0387564/?ref_=ttls_li_tt,0,0,0,6.66665,27,48
Say Anything...,7,http://www.imdb.com/title/tt0098258/?ref_=ttls_li_tt,0,0,0,8,3,23
Scarface,8,http://www.imdb.com/title/tt0086250/?ref_=ttls_li_tt,7,10,23,7,9,5
Scary Movie 3,6,http://www.imdb.com/title/tt0306047/?ref_=ttls_li_tt,0,0,0,6,2,5
Scary Movie 5,4,http://www.imdb.com/title/tt0795461/?ref_=ttls_li_tt,6.5,3,14,5.6667,4,12
Scent of a Woman,8,http://www.imdb.com/title/tt0105323/?ref_=ttls_li_tt,7.5,3,6,0,0,0
School of Rock,7,http://www.imdb.com/title/tt0332379/?ref_=ttls_li_tt,0,0,0,6.75,6,11
Scooby-Doo,5,http://www.imdb.com/title/tt0267913/?ref_=ttls_li_tt,0,0,0,6,32,56
Scream 4,6,http://www.imdb.com/title/tt1262416/?ref_=ttls_li_tt,6.75,10,6,5.83335,13,14
Se7en,9,http://www.imdb.com/title/tt0114369/?ref_=ttls_li_tt,0,0,0,8.5,55,85
Serenity,8,http://www.imdb.com/title/tt0379786/?ref_=ttls_li_tt,0,0,0,8.25,15,27
Seven Pounds,8,http://www.imdb.com/title/tt0814314/?ref_=ttls_li_tt,7,14,25,0,0,0
Seven Psychopaths,7,http://www.imdb.com/title/tt1931533/?ref_=ttls_li_tt,8,30,58,7.25,22,50
Shadow Dancer,6,http://www.imdb.com/title/tt1770734/?ref_=ttls_li_tt,7,25,25,0,0,0
Shame,7,http://www.imdb.com/title/tt1723811/?ref_=ttls_li_tt,7.5,83,86,7,2,8
Shaun of the Dead,8,http://www.imdb.com/title/tt0365748/?ref_=ttls_li_tt,7.6667,10,29,7,5,5
Sherlock Holmes: A Game of Shadows,8,http://www.imdb.com/title/tt1515091/?ref_=ttls_li_tt,0,0,0,7.25,6,13
Shrek,8,http://www.imdb.com/title/tt0126029/?ref_=ttls_li_tt,6.75,15,7,7.3333,29,72
Shrek 2,7,http://www.imdb.com/title/tt0298148/?ref_=ttls_li_tt,7,2,9,0,0,0
Shrek the Third,6,http://www.imdb.com/title/tt0413267/?ref_=ttls_li_tt,6.3333,2,5,0,0,0
Shutter Island,8,http://www.imdb.com/title/tt1130884/?ref_=ttls_li_tt,0,0,0,7.45835,32,122
Side Effects,7,http://www.imdb.com/title/tt2053463/?ref_=ttls_li_tt,0,0,0,6.5,17,59
Sightseers,7,http://www.imdb.com/title/tt2023690/?ref_=ttls_li_tt,6.5,7,20,6,12,16
Silent Hill,7,http://www.imdb.com/title/tt0384537/?ref_=ttls_li_tt,6.75,2,6,7.5,13,11
Silent Hill: Revelation,5,http://www.imdb.com/title/tt0938330/?ref_=ttls_li_tt,7.75,2,6,5.75,16,26
Sin City,8,http://www.imdb.com/title/tt0401792/?ref_=ttls_li_tt,6.125,29,32,7.5,59,75
Sin City: A Dame to Kill For,7,http://www.imdb.com/title/tt0458481/?ref_=ttls_li_tt,0,0,0,6.3333,15,40
Sinister,7,http://www.imdb.com/title/tt1922777/?ref_=ttls_li_tt,0,0,0,8,22,110
Skyfall,8,http://www.imdb.com/title/tt1074638/?ref_=ttls_li_tt,7.6667,39,28,7.625,120,130
Skyline,4,http://www.imdb.com/title/tt1564585/?ref_=ttls_li_tt,0,0,0,7.6667,2,14
Sleeping Beauty,5,http://www.imdb.com/title/tt1588398/?ref_=ttls_li_tt,7,4,22,6.6667,7,6
Sleepy Hollow,7,http://www.imdb.com/title/tt0162661/?ref_=ttls_li_tt,0,0,0,6.83335,36,75
Small Apartments,6,http://www.imdb.com/title/tt1272886/?ref_=ttls_li_tt,7.6667,8,8,7.25,14,29
Smashed,7,http://www.imdb.com/title/tt2063781/?ref_=ttls_li_tt,6.3333,4,7,7,21,29
Snatch,8,http://www.imdb.com/title/tt0208092/?ref_=ttls_li_tt,8,8,10,8.5,46,68
Snitch,7,http://www.imdb.com/title/tt0882977/?ref_=ttls_li_tt,0,0,0,7.25,53,77
Snow White and the Huntsman,6,http://www.imdb.com/title/tt1735898/?ref_=ttls_li_tt,0,0,0,6.3333,106,161
Snowpiercer,7,http://www.imdb.com/title/tt1706620/?ref_=ttls_li_tt,7.25,49,49,0,0,0
Source Code,8,http://www.imdb.com/title/tt0945513/?ref_=ttls_li_tt,0,0,0,7.5,18,77
Space Jam,6,http://www.imdb.com/title/tt0117705/?ref_=ttls_li_tt,7.3333,5,12,0,0,0
Spaceballs,7,http://www.imdb.com/title/tt0094012/?ref_=ttls_li_tt,7,46,60,7,46,60
Sparkle,6,http://www.imdb.com/title/tt1876451/?ref_=ttls_li_tt,7,2,9,7,5,11
Spider-Man,7,http://www.imdb.com/title/tt0145487/?ref_=ttls_li_tt,0,0,0,7.375,39,97
Spider-Man 2,7,http://www.imdb.com/title/tt0316654/?ref_=ttls_li_tt,0,0,0,7.25,11,50
Spider-Man 3,6,http://www.imdb.com/title/tt0413300/?ref_=ttls_li_tt,0,0,0,6.5,6,15
Spirited Away,9,http://www.imdb.com/title/tt0245429/?ref_=ttls_li_tt,8.04165,78,47,8,6,11
Spring Breakers,5,http://www.imdb.com/title/tt2101441/?ref_=ttls_li_tt,6,8,9,5.7222,50,65
Stand by Me,8,http://www.imdb.com/title/tt0092005/?ref_=ttls_li_tt,8,24,28,7.6111,21,15
Stand Up Guys,7,http://www.imdb.com/title/tt1389096/?ref_=ttls_li_tt,6,8,13,7.97223333,94,168
Star Trek,8,http://www.imdb.com/title/tt0796366/?ref_=ttls_li_tt,0,0,0,7.58333333,27,71
Star Wars: Episode I - The Phantom Menace,7,http://www.imdb.com/title/tt0120915/?ref_=ttls_li_tt,0,0,0,7.33333333,126,215
Star Wars: Episode III - Revenge of the Sith,8,http://www.imdb.com/title/tt0121766/?ref_=ttls_li_tt,0,0,0,7.25,9,19
Star Wars: Episode IV - A New Hope,9,http://www.imdb.com/title/tt0076759/?ref_=ttls_li_tt,8,54,37,7.75,58,70
Star Wars: Episode V - The Empire Strikes Back,9,http://www.imdb.com/title/tt0080684/?ref_=ttls_li_tt,7.25,5,3,0,0,0
Star Wars: Episode VI - Return of the Jedi,8,http://www.imdb.com/title/tt0086190/?ref_=ttls_li_tt,7.25,2,3,0,0,0
Star Wars: The Clone Wars,6,http://www.imdb.com/title/tt1185834/?ref_=ttls_li_tt,7.3333,2,3,7.5,8,26
Stargate,7,http://www.imdb.com/title/tt0111282/?ref_=ttls_li_tt,0,0,0,7.5,9,36
Starship Troopers,7,http://www.imdb.com/title/tt0120201/?ref_=ttls_li_tt,0,0,0,6.8333,7,9
State of Play,7,http://www.imdb.com/title/tt0473705/?ref_=ttls_li_tt,7,7,14,0,0,0
Step Brothers,7,http://www.imdb.com/title/tt0838283/?ref_=ttls_li_tt,0,0,0,7,21,21
Stepmom,7,http://www.imdb.com/title/tt0120686/?ref_=ttls_li_tt,0,0,0,7,59,96
Stoker,7,http://www.imdb.com/title/tt1682180/?ref_=ttls_li_tt,7.75,60,49,7.33335,84,188
Struck by Lightning,6,http://www.imdb.com/title/tt1791614/?ref_=ttls_li_tt,0,0,0,6,19,44
Sucker Punch,6,http://www.imdb.com/title/tt0978764/?ref_=ttls_li_tt,0,0,0,6.25,5,8
Super Troopers,7,http://www.imdb.com/title/tt0247745/?ref_=ttls_li_tt,6.25,3,6,6.25,3,6
Superbad,8,http://www.imdb.com/title/tt0829482/?ref_=ttls_li_tt,7.25,8,4,8,7,25
Superman,7,http://www.imdb.com/title/tt0078346/?ref_=ttls_li_tt,0,0,0,6,15,21
Superman II,7,http://www.imdb.com/title/tt0081573/?ref_=ttls_li_tt,6.6667,11,5,0,0,0
Superman Returns,6,http://www.imdb.com/title/tt0348150/?ref_=ttls_li_tt,0,0,0,6.875,9,16
Sweet Home Alabama,6,http://www.imdb.com/title/tt0256415/?ref_=ttls_li_tt,0,0,0,6,8,21
Tad: The Explorer,6,http://www.imdb.com/title/tt1764625/?ref_=ttls_li_tt,0,0,0,7.5,10,10
Take Shelter,7,http://www.imdb.com/title/tt1675192/?ref_=ttls_li_tt,0,0,0,0,0,0
Taken,8,http://www.imdb.com/title/tt0936501/?ref_=ttls_li_tt,0,0,0,6.75,5,7
Taken 2,6,http://www.imdb.com/title/tt1397280/?ref_=ttls_li_tt,5.75,2,2,0,0,0
Takers,6,http://www.imdb.com/title/tt1135084/?ref_=ttls_li_tt,0,0,0,5.5,6,36
Talladega Nights: The Ballad of Ricky Bobby,7,http://www.imdb.com/title/tt0415306/?ref_=ttls_li_tt,0,0,0,7,24,38
Ted,7,http://www.imdb.com/title/tt1637725/?ref_=ttls_li_tt,7,44,106,6.916675,77,228
