name,rating,page_link,directors_avg_imdb,director_wins,director_nominations,actors_avg_imdb,actors_wins,actors_nominations
Teenage Mutant Ninja Turtles,6,http://www.imdb.com/title/tt1291150/?ref_=ttls_li_tt,7.3333,20,20,7,14,54
Temptation: Confessions of a Marriage Counselor,5,http://www.imdb.com/title/tt2070862/?ref_=ttls_li_tt,6,12,40,6.6875,32,117
Terminator 3: Rise of the Machines,6,http://www.imdb.com/title/tt0181852/?ref_=ttls_li_tt,0,0,0,4,3,4
Terminator Salvation,7,http://www.imdb.com/title/tt0438488/?ref_=ttls_li_tt,0,0,0,7,8,14
Terms of Endearment,7,http://www.imdb.com/title/tt0086425/?ref_=ttls_li_tt,7.6667,48,74,7.04165,50,97
Thank You for Smoking,8,http://www.imdb.com/title/tt0427944/?ref_=ttls_li_tt,7,63,68,6.75,18,21
The A-Team,7,http://www.imdb.com/title/tt0429493/?ref_=ttls_li_tt,7,4,3,0,0,0
The ABCs of Death,5,http://www.imdb.com/title/tt1935896/?ref_=ttls_li_tt,6,5,5,0,0,0
The Amazing Spider-Man,7,http://www.imdb.com/title/tt0948470/?ref_=ttls_li_tt,0,0,0,6.75,3,7
The Amazing Spider-Man 2,7,http://www.imdb.com/title/tt1872181/?ref_=ttls_li_tt,7.75,6,6,7.66666667,120,270
The American,6,http://www.imdb.com/title/tt1440728/?ref_=ttls_li_tt,7.3333,17,15,5.5,2,8
The Amityville Horror,6,http://www.imdb.com/title/tt0384806/?ref_=ttls_li_tt,0,0,0,6.66665,6,14
The Apparition,4,http://www.imdb.com/title/tt1433822/?ref_=ttls_li_tt,0,0,0,5,4,2
The Avengers,8,http://www.imdb.com/title/tt0848228/?ref_=ttls_li_tt,7.75,25,43,7.6667,6,35
The Awakening,7,http://www.imdb.com/title/tt1687901/?ref_=ttls_li_tt,0,0,0,7.33335,32,47
The Bank Job,7,http://www.imdb.com/title/tt0200465/?ref_=ttls_li_tt,6.3333,5,6,0,0,0
The Baytown Outlaws,6,http://www.imdb.com/title/tt1836944/?ref_=ttls_li_tt,0,0,0,7.16665,11,38
The Best Exotic Marigold Hotel,7,http://www.imdb.com/title/tt1412386/?ref_=ttls_li_tt,7.3333,12,20,7.3333,46,95
The Big Lebowski,8,http://www.imdb.com/title/tt0118715/?ref_=ttls_li_tt,7.75,244,551,7.5,156,260
The Big Wedding,6,http://www.imdb.com/title/tt1931435/?ref_=ttls_li_tt,7.5,53,96,6.94443333,94,179
The Bling Ring,6,http://www.imdb.com/title/tt2132285/?ref_=ttls_li_tt,7,58,74,0,0,0
The Boondock Saints,8,http://www.imdb.com/title/tt0144117/?ref_=ttls_li_tt,0,0,0,7.3333,4,5
The Bourne Identity,8,http://www.imdb.com/title/tt0258463/?ref_=ttls_li_tt,0,0,0,7.83335,44,49
The Bourne Legacy,7,http://www.imdb.com/title/tt1194173/?ref_=ttls_li_tt,7.25,3,40,7.5,50,91
The Bourne Ultimatum,8,http://www.imdb.com/title/tt0440963/?ref_=ttls_li_tt,7.6667,35,66,6.75,43,74
The Breakfast Club,8,http://www.imdb.com/title/tt0088847/?ref_=ttls_li_tt,0,0,0,7.125,7,17
The Butterfly Effect,8,http://www.imdb.com/title/tt0289879/?ref_=ttls_li_tt,0,0,0,7.25,22,43
The Cabin in the Woods,7,http://www.imdb.com/title/tt1259521/?ref_=ttls_li_tt,7.3333,15,44,7,10,30
The Call,7,http://www.imdb.com/title/tt1911644/?ref_=ttls_li_tt,7.25,6,10,7,25,32
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7,http://www.imdb.com/title/tt0363771/?ref_=ttls_li_tt,7.25,7,22,6.83335,66,160
The Chronicles of Riddick,7,http://www.imdb.com/title/tt0296572/?ref_=ttls_li_tt,0,0,0,7,6,11
The Cloth,3,http://www.imdb.com/title/tt2088923/?ref_=ttls_li_tt,0,0,0,7.16665,17,20
The Company You Keep,6,http://www.imdb.com/title/tt1381404/?ref_=ttls_li_tt,7.25,76,96,7.25,80,109
The Crow,8,http://www.imdb.com/title/tt0109506/?ref_=ttls_li_tt,6.6667,6,7,0,0,0
The Da Vinci Code,7,http://www.imdb.com/title/tt0382625/?ref_=ttls_li_tt,0,0,0,7.5,10,20
The Dark Knight,9,http://www.imdb.com/title/tt0468569/?ref_=ttls_li_tt,0,0,0,7.41665,84,73
The Dark Knight Rises,8,http://www.imdb.com/title/tt1345836/?ref_=ttls_li_tt,0,0,0,7.41665,81,180
The Darkest Hour,5,http://www.imdb.com/title/tt1093357/?ref_=ttls_li_tt,0,0,0,6.3333,3,9
The Day After Tomorrow,6,http://www.imdb.com/title/tt0319262/?ref_=ttls_li_tt,0,0,0,7.5,8,21
The Day the Earth Stood Still,6,http://www.imdb.com/title/tt0970416/?ref_=ttls_li_tt,0,0,0,8,34,88
The Deer Hunter,8,http://www.imdb.com/title/tt0077416/?ref_=ttls_li_tt,7,14,12,0,0,0
The Departed,9,http://www.imdb.com/title/tt0407887/?ref_=ttls_li_tt,7.75,139,210,8.41665,183,309
The Descendants,7,http://www.imdb.com/title/tt1033575/?ref_=ttls_li_tt,7.33335,173,321,6.5,123,267
The Divide,6,http://www.imdb.com/title/tt1535616/?ref_=ttls_li_tt,0,0,0,6.5,3,9
The Dukes of Hazzard,5,http://www.imdb.com/title/tt0377818/?ref_=ttls_li_tt,6.25,3,6,5.5,10,16
The East,7,http://www.imdb.com/title/tt1869716/?ref_=ttls_li_tt,7,2,5,0,0,0
The Evil Dead,8,http://www.imdb.com/title/tt0083907/?ref_=ttls_li_tt,0,0,0,7.75,10,8
The Expendables,7,http://www.imdb.com/title/tt1320253/?ref_=ttls_li_tt,7.5,56,66,7.125,60,81
The Expendables 2,7,http://www.imdb.com/title/tt1764651/?ref_=ttls_li_tt,7.5,56,66,7.5,62,82
The Fast and the Furious: Tokyo Drift,6,http://www.imdb.com/title/tt0463985/?ref_=ttls_li_tt,0,0,0,6.33335,6,12
The Game,8,http://www.imdb.com/title/tt0119174/?ref_=ttls_li_tt,0,0,0,7,8,4
The Ghost Writer,7,http://www.imdb.com/title/tt1139328/?ref_=ttls_li_tt,0,0,0,7,5,13
The Girl with the Dragon Tattoo,8,http://www.imdb.com/title/tt1568346/?ref_=ttls_li_tt,0,0,0,7.41665,72,121
The Godfather: Part II,9,http://www.imdb.com/title/tt0071562/?ref_=ttls_li_tt,8.6667,51,48,7.6667,56,62
The Godfather: Part III,8,http://www.imdb.com/title/tt0099674/?ref_=ttls_li_tt,0,0,0,7,16,25
The Golden Compass,6,http://www.imdb.com/title/tt0385752/?ref_=ttls_li_tt,7,2,16,0,0,0
The Goonies,8,http://www.imdb.com/title/tt0089218/?ref_=ttls_li_tt,7,9,7,8,31,70
The Green Hornet,6,http://www.imdb.com/title/tt0990407/?ref_=ttls_li_tt,6.75,28,43,6.75,5,14
The Green Mile,9,http://www.imdb.com/title/tt0120689/?ref_=ttls_li_tt,0,0,0,7.66665,9,29
The Grey,7,http://www.imdb.com/title/tt1601913/?ref_=ttls_li_tt,0,0,0,6.5,7,9
The Guilt Trip,6,http://www.imdb.com/title/tt1694020/?ref_=ttls_li_tt,7.25,11,33,7.25,54,77
The Hangover,8,http://www.imdb.com/title/tt1119646/?ref_=ttls_li_tt,7,4,4,7.6667,28,68
The Hangover Part III,6,http://www.imdb.com/title/tt1951261/?ref_=ttls_li_tt,0,0,0,8,4,11
The Haunting in Connecticut,6,http://www.imdb.com/title/tt0492044/?ref_=ttls_li_tt,0,0,0,7,8,14
The Haunting in Connecticut 2: Ghosts of Georgia,5,http://www.imdb.com/title/tt1457765/?ref_=ttls_li_tt,0,0,0,6.86113333,9,20
The Heat,7,http://www.imdb.com/title/tt2404463/?ref_=ttls_li_tt,8,7,11,0,0,0
The Help,8,http://www.imdb.com/title/tt1454029/?ref_=ttls_li_tt,6.3333,12,17,7.25,115,162
The Hills Have Eyes,6,http://www.imdb.com/title/tt0454841/?ref_=ttls_li_tt,0,0,0,6.75,6,10
The Hobbit: An Unexpected Journey,8,http://www.imdb.com/title/tt0903624/?ref_=ttls_li_tt,0,0,0,7.625,13,40
The Human Centipede (First Sequence),4,http://www.imdb.com/title/tt1467304/?ref_=ttls_li_tt,4,2,2,5,3,2
The Hunger Games: Catching Fire,8,http://www.imdb.com/title/tt1951264/?ref_=ttls_li_tt,7.25,4,12,0,0,0
The Hurt Locker,8,http://www.imdb.com/title/tt0887912/?ref_=ttls_li_tt,7,82,58,7,3,10
The Ides of March,7,http://www.imdb.com/title/tt1124035/?ref_=ttls_li_tt,7,90,198,7.5,135,258
The Impossible,8,http://www.imdb.com/title/tt1649419/?ref_=ttls_li_tt,7.5,24,23,7.6667,67,100
The Incredible Hulk,7,http://www.imdb.com/title/tt0800080/?ref_=ttls_li_tt,0,0,0,6.5,31,44
The Incredibles,8,http://www.imdb.com/title/tt0317705/?ref_=ttls_li_tt,7.6667,32,28,7.08335,47,88
The Innkeepers,6,http://www.imdb.com/title/tt1594562/?ref_=ttls_li_tt,6,5,14,6.5,11,13
The Internship,6,http://www.imdb.com/title/tt2234155/?ref_=ttls_li_tt,0,0,0,6.6667,13,26
The Island,7,http://www.imdb.com/title/tt0399201/?ref_=ttls_li_tt,0,0,0,7.6667,16,20
The Italian Job,7,http://www.imdb.com/title/tt0317740/?ref_=ttls_li_tt,7,6,11,0,0,0
The Karate Kid,6,http://www.imdb.com/title/tt1155076/?ref_=ttls_li_tt,7,38,47,7,66,112
The Kids Are All Right,7,http://www.imdb.com/title/tt0842926/?ref_=ttls_li_tt,6.3333,17,44,0,0,0
The Last Castle,7,http://www.imdb.com/title/tt0272020/?ref_=ttls_li_tt,6.75,4,2,0,0,0
The Last House on the Left,7,http://www.imdb.com/title/tt0844708/?ref_=ttls_li_tt,6.3333,2,2,7,2,3
The Last Stand,6,http://www.imdb.com/title/tt1549920/?ref_=ttls_li_tt,7.25,33,20,6,56,53
The League of Extraordinary Gentlemen,6,http://www.imdb.com/title/tt0311429/?ref_=ttls_li_tt,0,0,0,6.3333,2,2
The Lion King,9,http://www.imdb.com/title/tt0110357/?ref_=ttls_li_tt,0,0,0,7.19443333,54,72
The Lone Ranger,7,http://www.imdb.com/title/tt1210819/?ref_=ttls_li_tt,6.6667,9,12,7.1667,12,28
The Lorax,6,http://www.imdb.com/title/tt1482459/?ref_=ttls_li_tt,0,0,0,6.66666667,72,124
The Lord of the Rings: The Fellowship of the Ring,9,http://www.imdb.com/title/tt0120737/?ref_=ttls_li_tt,8,137,130,7.83333333,102,127
The Lord of the Rings: The Two Towers,9,http://www.imdb.com/title/tt0167261/?ref_=ttls_li_tt,0,0,0,8.3333,32,93
The Lords of Salem,5,http://www.imdb.com/title/tt1731697/?ref_=ttls_li_tt,6,6,6,7.3333,8,7
The Lost Boys,7,http://www.imdb.com/title/tt0093437/?ref_=ttls_li_tt,6,9,9,6.94443333,39,39
The Lost World: Jurassic Park,7,http://www.imdb.com/title/tt0119567/?ref_=ttls_li_tt,0,0,0,8,4,13
The Lovely Bones,7,http://www.imdb.com/title/tt0380510/?ref_=ttls_li_tt,0,0,0,7.3333,50,115
The Lucky One,7,http://www.imdb.com/title/tt1327194/?ref_=ttls_li_tt,7.5,12,13,7,14,36
The Machinist,8,http://www.imdb.com/title/tt0361862/?ref_=ttls_li_tt,0,0,0,6.75,35,71
The Man from Earth,8,http://www.imdb.com/title/tt0756683/?ref_=ttls_li_tt,0,0,0,7.5,5,2
The Man with the Golden Gun,7,http://www.imdb.com/title/tt0071807/?ref_=ttls_li_tt,0,0,0,7.125,34,20
The Man with the Iron Fists,5,http://www.imdb.com/title/tt1258972/?ref_=ttls_li_tt,6.75,2,5,7.5,15,31
The Mask,7,http://www.imdb.com/title/tt0110475/?ref_=ttls_li_tt,0,0,0,7,3,3
The Master,7,http://www.imdb.com/title/tt1560747/?ref_=ttls_li_tt,7.3333,66,174,7.3333,154,293
The Matrix,9,http://www.imdb.com/title/tt0133093/?ref_=ttls_li_tt,7,11,23,7.33333333,41,90
The Maze Runner,7,http://www.imdb.com/title/tt1790864/?ref_=ttls_li_tt,0,0,0,6.5,4,15
The Men Who Stare at Goats,6,http://www.imdb.com/title/tt1234548/?ref_=ttls_li_tt,7,19,34,0,0,0
The Mist,7,http://www.imdb.com/title/tt0884328/?ref_=ttls_li_tt,0,0,0,5.5,15,39
The Mummy,7,http://www.imdb.com/title/tt0120616/?ref_=ttls_li_tt,0,0,0,6,8,11
The Muppets,7,http://www.imdb.com/title/tt1204342/?ref_=ttls_li_tt,7.5,2,18,0,0,0
The Natural,8,http://www.imdb.com/title/tt0087781/?ref_=ttls_li_tt,0,0,0,0,0,0
The NeverEnding Story,7,http://www.imdb.com/title/tt0088323/?ref_=ttls_li_tt,7.3333,10,8,0,0,0
The NeverEnding Story III,3,http://www.imdb.com/title/tt0110647/?ref_=ttls_li_tt,0,0,0,7.6667,2,3
The Nightmare Before Christmas,8,http://www.imdb.com/title/tt0107688/?ref_=ttls_li_tt,7.5,8,15,7.6667,69,98
The Ninth Gate,7,http://www.imdb.com/title/tt0142688/?ref_=ttls_li_tt,0,0,0,7,4,14
The Number 23,6,http://www.imdb.com/title/tt0481369/?ref_=ttls_li_tt,0,0,0,6.6667,27,23
The Numbers Station,6,http://www.imdb.com/title/tt1659338/?ref_=ttls_li_tt,6.3333,4,6,7.5,4,15
The Odd Life of Timothy Green,7,http://www.imdb.com/title/tt1462769/?ref_=ttls_li_tt,7,3,15,6.625,16,48
The Others,8,http://www.imdb.com/title/tt0230600/?ref_=ttls_li_tt,8,55,37,0,0,0
The Outsiders,7,http://www.imdb.com/title/tt0086066/?ref_=ttls_li_tt,0,0,0,6.875,24,29
The Paperboy,6,http://www.imdb.com/title/tt1496422/?ref_=ttls_li_tt,6.6667,29,28,0,0,0
The Parent Trap,7,http://www.imdb.com/title/tt0120783/?ref_=ttls_li_tt,7,6,5,6,3,3
The Passion of the Christ,7,http://www.imdb.com/title/tt0335345/?ref_=ttls_li_tt,0,0,0,7.5,6,12
The Patriot,7,http://www.imdb.com/title/tt0187393/?ref_=ttls_li_tt,0,0,0,6.6667,2,7
The Pirates! Band of Misfits,7,http://www.imdb.com/title/tt1430626/?ref_=ttls_li_tt,7.5,16,24,0,0,0
The Place Beyond the Pines,7,http://www.imdb.com/title/tt1817273/?ref_=ttls_li_tt,7.3333,9,14,6.5,2,15
The Polar Express,7,http://www.imdb.com/title/tt0338348/?ref_=ttls_li_tt,0,0,0,8,5,9
The Possession,6,http://www.imdb.com/title/tt0431021/?ref_=ttls_li_tt,6.75,15,14,5.5,3,3
The Prestige,9,http://www.imdb.com/title/tt0482571/?ref_=ttls_li_tt,8.5,124,187,7.75,104,221
The Purge,6,http://www.imdb.com/title/tt2184339/?ref_=ttls_li_tt,0,0,0,6.5,2,4
The Raid: Redemption,8,http://www.imdb.com/title/tt1899353/?ref_=ttls_li_tt,7.25,9,8,0,0,0
The Ring,7,http://www.imdb.com/title/tt0298130/?ref_=ttls_li_tt,0,0,0,7.5,11,23
The Rocky Horror Picture Show,7,http://www.imdb.com/title/tt0073629/?ref_=ttls_li_tt,0,0,0,6.6667,2,13
The Royal Tenenbaums,8,http://www.imdb.com/title/tt0265666/?ref_=ttls_li_tt,0,0,0,7.3333,38,60
The Sandlot,8,http://www.imdb.com/title/tt0108037/?ref_=ttls_li_tt,0,0,0,7.6667,2,2
The Secret Garden,7,http://www.imdb.com/title/tt0108071/?ref_=ttls_li_tt,7,21,30,0,0,0
The Shawshank Redemption,9,http://www.imdb.com/title/tt0111161/?ref_=ttls_li_tt,8.5,13,27,7.66665,97,115
The Shining,8,http://www.imdb.com/title/tt0081505/?ref_=ttls_li_tt,0,0,0,7,12,14
The Silence of the Lambs,9,http://www.imdb.com/title/tt0102926/?ref_=ttls_li_tt,8,28,34,7.41665,106,106
The Simpsons Movie,7,http://www.imdb.com/title/tt0462538/?ref_=ttls_li_tt,0,0,0,7,5,25
The Sisterhood of the Traveling Pants,7,http://www.imdb.com/title/tt0403508/?ref_=ttls_li_tt,6.75,2,10,7.3333,5,16
The Sixth Sense,8,http://www.imdb.com/title/tt0167404/?ref_=ttls_li_tt,0,0,0,7.75,25,29
The Smurfs,6,http://www.imdb.com/title/tt0472181/?ref_=ttls_li_tt,0,0,0,5.8333,28,50
The Speed of Thought,5,http://www.imdb.com/title/tt0847825/?ref_=ttls_li_tt,5.5,2,2,6.33335,5,8
The Story of Luke,7,http://www.imdb.com/title/tt1038693/?ref_=ttls_li_tt,0,0,0,7.16665,9,9
The Sweeney,6,http://www.imdb.com/title/tt0857190/?ref_=ttls_li_tt,0,0,0,6.6667,12,18
The Taking of Pelham 123,6,http://www.imdb.com/title/tt1111422/?ref_=ttls_li_tt,0,0,0,7.5,8,5
The Tall Man,6,http://www.imdb.com/title/tt1658837/?ref_=ttls_li_tt,6.25,4,5,6.6667,5,22
The Terminator,8,http://www.imdb.com/title/tt0088247/?ref_=ttls_li_tt,0,0,0,8,16,11
The Texas Chainsaw Massacre,6,http://www.imdb.com/title/tt0324216/?ref_=ttls_li_tt,0,0,0,7,2,2
The Thin Red Line,8,http://www.imdb.com/title/tt0120863/?ref_=ttls_li_tt,0,0,0,7.41665,15,43
The Thing,8,http://www.imdb.com/title/tt0084787/?ref_=ttls_li_tt,7.25,30,38,6.8889,52,82
The Thompsons,5,http://www.imdb.com/title/tt1831806/?ref_=ttls_li_tt,5,5,8,0,0,0
The Three Stooges,5,http://www.imdb.com/title/tt0383010/?ref_=ttls_li_tt,0,0,0,5.25,14,37
The Town,8,http://www.imdb.com/title/tt0840361/?ref_=ttls_li_tt,0,0,0,8,11,28
The Transporter,7,http://www.imdb.com/title/tt0293662/?ref_=ttls_li_tt,0,0,0,6.5,12,27
The Tree of Life,7,http://www.imdb.com/title/tt0478304/?ref_=ttls_li_tt,8,40,55,0,0,0
The Truman Show,8,http://www.imdb.com/title/tt0120382/?ref_=ttls_li_tt,7,34,59,7.625,65,141
The Usual Suspects,9,http://www.imdb.com/title/tt0114814/?ref_=ttls_li_tt,0,0,0,7.6667,6,5
The Village,7,http://www.imdb.com/title/tt0368447/?ref_=ttls_li_tt,0,0,0,6.6667,17,29
The Way Way Back,7,http://www.imdb.com/title/tt1727388/?ref_=ttls_li_tt,6.625,38,53,7.75,79,134
The Wolverine,7,http://www.imdb.com/title/tt1430132/?ref_=ttls_li_tt,7.3333,7,6,0,0,0
The Woman in Black,6,http://www.imdb.com/title/tt1596365/?ref_=ttls_li_tt,6.25,2,4,6.75,9,30
There Will Be Blood,8,http://www.imdb.com/title/tt0469494/?ref_=ttls_li_tt,0,0,0,7.33333333,172,126
This Is 40,6,http://www.imdb.com/title/tt1758830/?ref_=ttls_li_tt,6.6667,15,31,6.75,9,24
This Is the End,7,http://www.imdb.com/title/tt1245492/?ref_=ttls_li_tt,6.625,15,42,7.25,11,33
This Must Be the Place,7,http://www.imdb.com/title/tt1440345/?ref_=ttls_li_tt,0,0,0,8,6,17
Till We Meet Again,6,http://www.imdb.com/title/tt2461340/?ref_=ttls_li_tt,0,0,0,7,5,4
Tinker Tailor Soldier Spy,7,http://www.imdb.com/title/tt1340800/?ref_=ttls_li_tt,7,38,28,7.5,67,55
"Tomorrow, When the War Began",6,http://www.imdb.com/title/tt1456941/?ref_=ttls_li_tt,6,3,11,0,0,0
Total Recall,6,http://www.imdb.com/title/tt1386703/?ref_=ttls_li_tt,7.25,78,72,7,48,90
Tower Heist,6,http://www.imdb.com/title/tt0471042/?ref_=ttls_li_tt,0,0,0,8,65,51
Toy Story,8,http://www.imdb.com/title/tt0114709/?ref_=ttls_li_tt,7.6667,37,30,0,0,0
Toy Story 3,8,http://www.imdb.com/title/tt0435761/?ref_=ttls_li_tt,0,0,0,7,16,31
Trainspotting,8,http://www.imdb.com/title/tt0117951/?ref_=ttls_li_tt,0,0,0,7,3,2
Trance,7,http://www.imdb.com/title/tt1924429/?ref_=ttls_li_tt,7.5,83,83,7.625,18,59
Transformers,7,http://www.imdb.com/title/tt0418279/?ref_=ttls_li_tt,6.5,8,10,6.8333,18,62
TRON,7,http://www.imdb.com/title/tt0084827/?ref_=ttls_li_tt,0,0,0,7.25,5,3
TRON: Legacy,7,http://www.imdb.com/title/tt1104001/?ref_=ttls_li_tt,0,0,0,6.58335,8,17
Tropic Thunder,7,http://www.imdb.com/title/tt0942385/?ref_=ttls_li_tt,0,0,0,7.5,45,150
Trouble with the Curve,7,http://www.imdb.com/title/tt2083383/?ref_=ttls_li_tt,7,2,12,0,0,0
True Lies,7,http://www.imdb.com/title/tt0111503/?ref_=ttls_li_tt,0,0,0,5.5,5,3
True Romance,8,http://www.imdb.com/title/tt0108399/?ref_=ttls_li_tt,0,0,0,7.125,72,69
Tucker and Dale vs Evil,8,http://www.imdb.com/title/tt1465522/?ref_=ttls_li_tt,0,0,0,7.5,14,19
Twelve Monkeys,8,http://www.imdb.com/title/tt0114746/?ref_=ttls_li_tt,7.5,22,29,8,5,9
Twister,6,http://www.imdb.com/title/tt0117998/?ref_=ttls_li_tt,0,0,0,6.5,6,22
Underworld Awakening,6,http://www.imdb.com/title/tt1496025/?ref_=ttls_li_tt,6.75,3,3,6,3,12
Underworld: Evolution,7,http://www.imdb.com/title/tt0401855/?ref_=ttls_li_tt,0,0,0,5,2,9
Unforgiven,8,http://www.imdb.com/title/tt0105695/?ref_=ttls_li_tt,0,0,0,8,32,38
Unknown,7,http://www.imdb.com/title/tt1401152/?ref_=ttls_li_tt,0,0,0,7.3333,6,14
Unthinkable,7,http://www.imdb.com/title/tt0914863/?ref_=ttls_li_tt,7,5,8,8,14,31
Up,8,http://www.imdb.com/title/tt1049413/?ref_=ttls_li_tt,7.83335,46,94,0,0,0
Upstream Color,7,http://www.imdb.com/title/tt2084989/?ref_=ttls_li_tt,6.6667,12,56,6.666675,20,76
V for Vendetta,8,http://www.imdb.com/title/tt0434409/?ref_=ttls_li_tt,0,0,0,9,25,28
Valhalla Rising,6,http://www.imdb.com/title/tt0862467/?ref_=ttls_li_tt,0,0,0,8,27,34
Vamps,5,http://www.imdb.com/title/tt1545106/?ref_=ttls_li_tt,7,3,2,6.6667,15,16
Van Helsing,6,http://www.imdb.com/title/tt0338526/?ref_=ttls_li_tt,0,0,0,7,9,21
Wanted,7,http://www.imdb.com/title/tt0493464/?ref_=ttls_li_tt,7,5,11,7,54,106
War Horse,7,http://www.imdb.com/title/tt1568911/?ref_=ttls_li_tt,0,0,0,7.54165,37,67
War of the Worlds,7,http://www.imdb.com/title/tt0407304/?ref_=ttls_li_tt,0,0,0,7.5,17,27
WarGames,7,http://www.imdb.com/title/tt0086567/?ref_=ttls_li_tt,6.6667,3,7,7,4,12
Watchmen,8,http://www.imdb.com/title/tt0409459/?ref_=ttls_li_tt,0,0,0,7.16665,14,35
Waterworld,6,http://www.imdb.com/title/tt0114898/?ref_=ttls_li_tt,7,2,5,6,53,56
We Bought a Zoo,7,http://www.imdb.com/title/tt1389137/?ref_=ttls_li_tt,7,21,43,7,29,21
We Need to Talk About Kevin,8,http://www.imdb.com/title/tt1242460/?ref_=ttls_li_tt,0,0,0,7.5,11,16
Welcome to the Punch,6,http://www.imdb.com/title/tt1684233/?ref_=ttls_li_tt,6.25,2,3,7.6667,3,7
What a Girl Wants,6,http://www.imdb.com/title/tt0286788/?ref_=ttls_li_tt,0,0,0,6.6667,9,19
What Richard Did,6,http://www.imdb.com/title/tt2092011/?ref_=ttls_li_tt,7.25,24,26,6.75,6,4
When in Rome,6,http://www.imdb.com/title/tt1185416/?ref_=ttls_li_tt,0,0,0,7.5,12,34
Where the Wild Things Are,7,http://www.imdb.com/title/tt0386117/?ref_=ttls_li_tt,7.3333,60,111,6.3333,2,6
White Chicks,6,http://www.imdb.com/title/tt0381707/?ref_=ttls_li_tt,0,0,0,0,0,0
White House Down,6,http://www.imdb.com/title/tt2334879/?ref_=ttls_li_tt,0,0,0,7,20,42
Who Framed Roger Rabbit,8,http://www.imdb.com/title/tt0096438/?ref_=ttls_li_tt,0,0,0,6.3333,23,15
Wild Things,7,http://www.imdb.com/title/tt0120890/?ref_=ttls_li_tt,6.3333,6,9,0,0,0
Would You Rather,6,http://www.imdb.com/title/tt1999995/?ref_=ttls_li_tt,0,0,0,6.27776667,15,58
Wreck-It Ralph,8,http://www.imdb.com/title/tt1772341/?ref_=ttls_li_tt,8.5,20,12,7.25,20,60
Wrong Turn,6,http://www.imdb.com/title/tt0295700/?ref_=ttls_li_tt,0,0,0,7,3,4
Wrong Turn 5: Bloodlines,4,http://www.imdb.com/title/tt2375779/?ref_=ttls_li_tt,0,0,0,6.25,2,2
X-Men,7,http://www.imdb.com/title/tt0120903/?ref_=ttls_li_tt,7.5,14,23,7.3333,35,130
X-Men Origins: Wolverine,7,http://www.imdb.com/title/tt0458525/?ref_=ttls_li_tt,7,26,7,7.45835,29,79
X-Men: First Class,8,http://www.imdb.com/title/tt1270798/?ref_=ttls_li_tt,0,0,0,7.47223333,204,340
xXx,6,http://www.imdb.com/title/tt0295701/?ref_=ttls_li_tt,0,0,0,6.52776667,25,49
Young Frankenstein,8,http://www.imdb.com/title/tt0072431/?ref_=ttls_li_tt,0,0,0,7.5,3,11
Your Highness,6,http://www.imdb.com/title/tt1240982/?ref_=ttls_li_tt,0,0,0,7.25,2,14
Youth in Revolt,7,http://www.imdb.com/title/tt0403702/?ref_=ttls_li_tt,6.5,3,17,0,0,0
Zambezia,6,http://www.imdb.com/title/tt1488181/?ref_=ttls_li_tt,7,9,18,7,9,18
Zombieland,8,http://www.imdb.com/title/tt1156398/?ref_=ttls_li_tt,0,0,0,7.54165,43,138
